CustomerID,CustomerName,Age,Gender,AnnualIncome,CreditScore,AccountType,AccountBalance,HasCreditCard,HasMortgage,HasPersonalLoan,DigitalEngagementLevel,OnlineTransactionsPct,HasComplained,ChurnStatus
CUST-00001,Michael Martin,29,Male,49516,721,Premium Checking,9795.99,1,0,0,Medium,44,0,0
CUST-00002,Mark Anderson,32,Male,38448,579,Premium Checking,60638.69,1,1,1,Medium,55,1,0
CUST-00003,David Davis,45,Female,28043,561,Standard Checking,13822.08,1,1,0,None,0,0,1
CUST-00004,Mark Miller,21,Non-Binary,62828,562,Savings,13355.45,1,0,0,Medium,63.2,0,0
CUST-00005,Betty Jackson,53,Male,59062,716,Standard Checking,6035.25,0,0,0,High,94.5,0,0
CUST-00006,Daniel Hernandez,82,Female,64236,639,Savings,5570.66,1,0,0,Medium,43.4,0,0
CUST-00007,David Brown,64,Female,73737,636,Premium Checking,20977.95,1,0,1,Medium,61.6,0,0
CUST-00008,Linda Williams,56,Male,35882,802,Premium Checking,72463.56,1,0,0,Low,25,0,0
CUST-00009,Nancy Johnson,55,Female,59047,710,Money Market,107945.69,1,1,0,Medium,33.6,0,0
CUST-00010,Lisa Lopez,61,Male,69847,628,Premium Checking,54814.43,1,0,0,Medium,41.6,0,0
CUST-00011,Sandra Garcia,68,Male,54700,582,Savings,8378.48,1,0,1,None,0,0,1
CUST-00012,Mary Smith,43,Male,36282,811,Standard Checking,6980.9,1,1,0,Low,14.2,0,0
CUST-00013,Barbara Lopez,53,Female,53304,696,Premium Checking,43574.85,1,0,0,Medium,55.3,0,0
CUST-00014,Matthew Taylor,18,Male,16438,649,Standard Checking,894.33,1,0,1,Medium,69.2,0,0
CUST-00015,Anthony Martinez,70,Male,53867,693,Premium Checking,17571.53,1,0,0,Medium,65.1,0,0
CUST-00016,Margaret Thomas,23,Male,25578,650,Savings,2199.51,1,0,0,None,0,0,1
CUST-00017,Joseph Anderson,54,Male,45040,715,Savings,7066.37,1,1,0,Medium,34.6,0,0
CUST-00018,Sandra Jackson,19,Male,36193,561,Money Market,44368.16,1,1,0,High,75,0,0
CUST-00019,Barbara Martin,58,Female,45718,651,Savings,5705.86,1,0,0,High,85.2,0,0
CUST-00020,Matthew Williams,68,Male,20531,606,Standard Checking,14573.68,1,0,1,High,73.6,0,0
CUST-00021,Robert Jackson,64,Male,63489,674,Standard Checking,11477.52,0,0,1,High,86.2,0,0
CUST-00022,Michael Rodriguez,30,Female,70359,613,Standard Checking,2137.16,0,0,0,Low,27.2,0,1
CUST-00023,Michael Moore,83,Female,27367,638,Savings,12145.34,0,0,1,High,90.6,0,0
CUST-00024,Patricia Wilson,76,Male,22582,641,Standard Checking,6661.1,1,0,0,High,75.7,0,0
CUST-00025,Sarah Rodriguez,85,Male,28304,698,Premium Checking,46029.05,1,0,0,Medium,39.1,0,0
CUST-00026,Betty Johnson,76,Male,64670,653,Savings,11407.84,1,0,0,High,83.9,0,0
CUST-00027,Karen Anderson,27,Female,43165,608,Savings,7803.4,1,1,0,High,81,0,0
CUST-00028,Margaret Miller,30,Male,40283,708,Standard Checking,10808.85,1,0,0,High,75.7,0,0
CUST-00029,Barbara Davis,19,Male,41394,825,Standard Checking,14060.63,1,0,0,High,78.8,0,0
CUST-00030,Joseph Williams,32,Male,31904,654,Savings,8098.64,1,0,0,Medium,53.2,0,0
CUST-00031,Susan Taylor,63,Male,52692,771,Money Market,19338.51,1,1,0,Medium,43.9,0,0
CUST-00032,Patricia Moore,74,Female,95192,571,Standard Checking,8545.77,1,0,0,High,79.4,0,0
CUST-00033,Linda Brown,27,Male,28529,626,Money Market,93865.56,1,0,0,Medium,36.1,0,0
CUST-00034,Mary Garcia,39,Male,60965,770,Premium Checking,24530.03,0,0,0,Medium,34.4,0,0
CUST-00035,Nancy Martinez,25,Female,43429,695,Money Market,35754,0,0,0,Low,15.4,0,0
CUST-00036,Patricia Moore,38,Female,43252,629,Savings,9700.19,0,0,1,Medium,58.9,0,0
CUST-00037,Betty Lopez,39,Male,88862,738,Money Market,42515.7,0,0,0,Medium,64.8,0,0
CUST-00038,Mary Martinez,62,Male,73207,607,Savings,7744.35,1,0,0,Medium,68,0,0
CUST-00039,Sandra Brown,57,Male,44813,684,Standard Checking,13381.56,1,1,1,High,88.5,0,0
CUST-00040,Susan Thomas,39,Male,70998,745,Standard Checking,6918.35,0,0,1,Medium,47.6,0,0
CUST-00041,Joseph Davis,47,Male,18901,705,Savings,14960.13,0,0,0,Medium,69.1,0,0
CUST-00042,Susan Davis,79,Male,14883,850,Standard Checking,2090.91,0,0,0,Medium,54,0,0
CUST-00043,Christopher Thomas,62,Female,31398,640,Standard Checking,12866.98,1,0,0,High,77.3,0,0
CUST-00044,Richard Moore,52,Non-Binary,26989,728,Standard Checking,5482.66,1,0,1,Low,11.6,0,0
CUST-00045,Joseph Gonzalez,59,Female,39545,741,Premium Checking,72455.96,1,0,0,High,96.9,0,0
